geo,year,theft,poverty,neet,education,unemployment,income,inequity
Croatia,2020,256.72,8.31923825,5.9249209,14.852883899999998,1.7450109499999997,43.991694364938056,4.61
Hungary,2020,516.31,18.952880439999998,12.01651698,29.99244482,2.6377720200000003,41.45474419042982,4.16
Ireland,2020,982.53,9.978524400000001,6.999860399999999,28.992329599999998,1.8864872,64.88561807201575,4.07
Italy,2020,1049.0,148.50730512,140.1574968,172.36390031999997,31.01357376,57.29911733581443,5.75
Lithuania,2020,338.11,6.845520499999999,3.632317,15.702785800000001,1.6764539999999999,45.21887283018571,6.14
Luxembourg,2020,1478.66,1.2459549199999997,0.48210316,3.79421448,0.27548752000000004,72.30075746198918,4.99
Latvia,2020,670.92,4.78826425,2.27013325,8.4319235,1.0873747500000002,45.26339761779321,6.27
Malta,2020,889.69,1.02398236,0.48883580000000004,2.0634016400000004,0.14922356,55.296479494851525,4.69
Netherlands,2020,1176.24,27.852136,10.966778549999999,91.04166955,6.266730600000001,63.69077560560705,4.15
Poland,2020,259.55,64.5537804,49.74438372,161.00472287999997,7.21483428,44.142118246356645,4.07
Portugal,2020,632.86,20.591818,11.3254999,43.139858710000006,4.63315905,48.645753729573855,4.99
Romania,2020,454.34,68.73669360000001,39.774603600000006,48.077069400000006,6.564740400000001,36.47956615194559,6.62
Sweden,2020,3011.72,18.279832529999997,7.12603641,50.81173788000001,6.403105180000001,63.11513379257215,4.12
Slovenia,2020,770.47,2.99708123,1.65573019,9.515208939999999,0.67067552,53.60287796488666,3.32
Slovakia,2020,209.62,7.5318647400000005,7.85933712,21.285704700000004,2.40146412,45.73072476859174,3.03
Austria,2021,819.61,15.453508720000002,8.39670416,37.87449536,3.7517188800000003,65.32481008536425,4.08
Belgium,2021,1428.7,21.72296196,11.67031467,58.81376403,4.39081146,63.744656258453475,3.42
Bulgaria,2021,353.28,21.92545716,12.17312448,23.23960128,2.28246084,38.47736559704184,7.45
Cyprus,2021,58.82,1.55009211,1.3798507800000002,5.22372081,0.46592364000000003,55.80691995615182,4.23
Czechia,2021,248.45,11.22947452,11.43937124,36.62697764,1.9940188399999998,48.419015850545385,3.43
Germany,2021,1004.59,174.6255651,78.99727945000001,306.84206439,20.788757750000002,63.22349936085065,4.98
Denmark,2021,2134.02,10.10327785,4.84723735,29.02502365,2.1024162000000004,67.86343927563529,3.93
Estonia,2021,564.86,2.9527509600000004,1.4896761599999997,5.74589376,0.5852299200000001,50.751754253439735,5.03
