freq,iccs,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,ICCS020221,P_HTHAB,RS	0.15 	0.13 	0.17 	0.20 	0.11 	0.16 	0.20 	0.11 	0.06 	0.19 
A,ICCS020221,P_HTHAB,SI	0.19 	0.19 	0.24 	0.15 	0.15 	0.05 	0.29 	0.53 	0.14 	0.19 
A,ICCS020221,P_HTHAB,SK	0.13 	1.44 	1.53 	1.57 	1.88 	1.64 	1.69 	1.71 	0.95 	1.01 
A,ICCS020221,P_HTHAB,TR	17.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ICCS020221,P_HTHAB,UKC-L	2.46 	3.04 	3.83 	5.24 	6.62 	7.73 	8.86 	: 	: 	: 
A,ICCS020221,P_HTHAB,UKM	4.28 	4.76 	4.38 	4.26 	4.28 	4.30 	4.93 	: 	: 	: 
A,ICCS020221,P_HTHAB,UKN	2.47 	3.23 	2.39 	3.52 	4.36 	3.59 	4.37 	: 	: 	: 
A,ICCS020221,P_HTHAB,XK	: 	: 	: 	: 	1.24 	0.90 	0.89 	1.17 	0.84 	: 
A,ICCS0301,P_HTHAB,AL	: 	: 	3.35 	5.16 	4.17 	3.93 	3.80 	5.38 	5.09 	4.77 
A,ICCS0301,P_HTHAB,AT	48.05 	44.72 	41.90 	40.57 	50.53 	48.48 	50.16 	50.90 	46.52 	48.74 
A,ICCS0301,P_HTHAB,BE	96.77 	102.13 	61.69 	61.30 	69.24 	76.06 	76.65 	81.60 	78.51 	84.37 
A,ICCS0301,P_HTHAB,BG	9.36 	8.68 	8.42 	8.37 	7.74 	9.19 	8.16 	8.64 	8.17 	7.91 
A,ICCS0301,P_HTHAB,CH	32.44 	33.54 	33.75 	32.90 	32.93 	44.60 	33.51 	32.00 	33.80 	35.18 
A,ICCS0301,P_HTHAB,CY	3.83 	2.77 	2.21 	2.48 	2.83 	2.34 	3.36 	1.94 	3.38 	7.03 
A,ICCS0301,P_HTHAB,CZ	13.42 	13.47 	13.62 	13.49 	13.20 	13.37 	13.65 	14.65 	13.59 	14.89 
A,ICCS0301,P_HTHAB,DE	45.16 	43.88 	43.28 	42.20 	45.23 	42.19 	49.02 	49.05 	49.39 	50.26 
A,ICCS0301,P_HTHAB,DK	34.12 	32.90 	42.08 	46.13 	66.46 	83.41 	95.83 	84.31 	92.22 	108.61 
A,ICCS0301,P_HTHAB,EE	18.71 	18.18 	15.12 	21.60 	20.59 	19.69 	22.44 	26.80 	23.33 	29.55 
A,ICCS0301,P_HTHAB,EL	4.38 	4.25 	4.26 	5.10 	4.57 	4.21 	3.94 	2.83 	1.79 	3.00 
A,ICCS0301,P_HTHAB,ES	19.24 	19.10 	20.36 	16.14 	18.79 	20.34 	24.89 	27.76 	23.48 	31.47 
A,ICCS0301,P_HTHAB,FI	59.87 	55.06 	51.82 	50.66 	58.10 	55.49 	64.16 	72.65 	73.52 	90.64 
A,ICCS0301,P_HTHAB,FR	41.03 	42.34 	46.95 	50.06 	53.22 	59.41 	70.83 	80.85 	83.74 	109.71 
A,ICCS0301,P_HTHAB,HR	8.02 	13.51 	14.22 	14.32 	17.11 	11.92 	14.35 	21.05 	14.69 	22.07 
A,ICCS0301,P_HTHAB,HU	6.99 	60.29 	7.83 	17.11 	6.10 	6.00 	5.53 	3.94 	5.16 	4.86 
A,ICCS0301,P_HTHAB,IE	40.04 	38.73 	40.19 	49.30 	53.85 	52.90 	58.09 	58.05 	52.01 	58.35 
A,ICCS0301,P_HTHAB,IS	: 	227.12 	128.66 	134.31 	149.76 	140.68 	158.13 	184.32 	142.80 	177.06 
A,ICCS0301,P_HTHAB,IT	: 	7.52 	7.82 	7.42 	7.44 	8.44 	8.90 	9.03 	8.25 	9.73 
A,ICCS0301,P_HTHAB,LI	: 	16.29 	21.55 	24.09 	23.92 	21.16 	23.61 	15.63 	28.39 	15.36 
A,ICCS0301,P_HTHAB,LT	14.68 	8.58 	10.77 	9.00 	7.20 	7.94 	7.80 	6.80 	4.51 	5.26 
A,ICCS0301,P_HTHAB,LU	75.83 	66.48 	65.31 	58.26 	45.64 	39.45 	37.71 	48.22 	46.16 	54.83 
A,ICCS0301,P_HTHAB,LV	: 	22.33 	27.63 	23.46 	11.17 	13.44 	15.25 	15.78 	16.20 	17.69 
A,ICCS0301,P_HTHAB,ME	3.87 	4.03 	4.99 	4.18 	3.54 	3.70 	3.70 	5.95 	4.34 	5.80 
A,ICCS0301,P_HTHAB,MK	: 	7.32 	6.54 	5.80 	5.50 	4.92 	: 	: 	: 	: 
A,ICCS0301,P_HTHAB,MT	19.64 	22.31 	18.10 	24.22 	19.54 	16.95 	19.55 	24.11 	17.30 	26.74 
A,ICCS0301,P_HTHAB,NL	29.08 	26.34 	25.49 	24.61 	27.89 	28.13 	30.00 	24.88 	23.04 	26.12 
A,ICCS0301,P_HTHAB,NO	71.72 	69.80 	73.34 	84.37 	106.70 	107.16 	109.45 	95.06 	94.27 	107.12 
A,ICCS0301,P_HTHAB,PL	: 	8.03 	7.71 	7.25 	8.31 	8.48 	8.76 	9.38 	7.74 	8.49 
A,ICCS0301,P_HTHAB,PT	20.24 	20.37 	22.35 	23.57 	23.91 	24.62 	23.93 	26.28 	23.64 	26.40 
A,ICCS0301,P_HTHAB,RO	7.67 	8.67 	7.60 	8.76 	9.05 	7.78 	8.97 	9.85 	9.90 	12.21 
A,ICCS0301,P_HTHAB,RS	5.47 	3.65 	4.03 	3.53 	4.00 	4.45 	6.58 	8.03 	7.02 	9.63 
